,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
102,11 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5222,Customer,1990,Male,29.0,2022-04-29
103,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5047,Subscriber,1987,Male,26.0,2017-12-26
104,10 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,2499,Subscriber,1988,Male,26.0,2022-04-29
105,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),52,McAllister St at Baker St,5518,Subscriber,1993,Male,27.0,2022-04-29
106,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,955,Subscriber,1998,Male,26.0,2017-11-03
107,5 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,593,Subscriber,2000,Female,27.0,2022-04-29
108,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,1514,Subscriber,2000,Male,27.0,2022-04-29
109,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5224,Subscriber,1990,Female,26.0,2022-04-29
110,8 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,5528,Subscriber,1996,Male,26.0,2017-11-20
111,9 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4574,Subscriber,1977,Male,26.0,2022-04-29
112,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2152,Subscriber,2000,Male,27.0,2017-06-29
113,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5070,Subscriber,1987,Male,29.0,2022-04-29
114,19 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,3491,Subscriber,1961,Male,27.0,2018-01-16
115,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,223,Subscriber,1988,Male,27.0,2022-04-29
116,3 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2568,Subscriber,1988,Male,27.0,2019-08-26
117,8 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5474,Subscriber,1997,Female,27.0,2017-12-14
118,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5245,Subscriber,1989,Male,26.0,2018-05-26
119,19 minutes,16,Steuart St at Market St,85,Church St at Duboce Ave,4814,Subscriber,1970,Male,27.0,2018-10-25
120,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,5546,Customer,1977,Female,26.0,2017-03-05
121,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),72,Page St at Scott St,1122,Subscriber,1979,Male,29.0,2022-04-29
122,27 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5294,Subscriber,1983,Female,27.0,2019-08-10
123,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),23,The Embarcadero at Steuart St,4924,Subscriber,1992,Male,27.0,2017-07-24
124,16 minutes,22,Howard St at Beale St,125,20th St at Bryant St,4942,Customer,1958,Male,26.0,2017-08-18
125,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,5253,Subscriber,1981,Male,26.0,2017-06-04
126,10 minutes,81,Berry St at 4th St,321,5th St at Folsom,4832,Customer,1996,Male,29.0,2019-10-14
127,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,2738,Subscriber,1986,Female,26.0,2020-01-27
128,9 minutes,5,Powell St BART Station (Market St at 5th St),73,Pierce St at Haight St,4414,Subscriber,1995,Female,27.0,2019-12-27
129,11 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5427,Subscriber,1969,Male,27.0,2018-09-06
130,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),75,Market St at Franklin St,6235,Subscriber,1986,Male,26.0,2019-06-29
131,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5570,Subscriber,1962,Other,26.0,2022-04-29
132,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5328,Subscriber,1989,Female,29.0,2018-05-27
133,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,5571,Subscriber,1988,Male,26.0,2018-01-19
134,16 minutes,22,Howard St at Beale St,115,Jackson Playground,5332,Customer,1982,Male,26.0,2019-11-04
135,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4574,Subscriber,1979,Male,26.0,2019-09-10
136,14 minutes,22,Howard St at Beale St,114,Rhode Island St at 17th St,5445,Subscriber,1994,Male,29.0,2018-02-26
137,10 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,4413,Subscriber,1978,Male,26.0,2018-10-27
138,9 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,5392,Subscriber,1988,Male,29.0,2019-03-29
139,17 minutes,22,Howard St at Beale St,356,Valencia St at Clinton Park,5325,Subscriber,1995,Male,26.0,2019-05-30
140,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,5222,Subscriber,1995,Male,29.0,2019-08-24
141,24 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),5353,Subscriber,1965,Male,27.0,2020-01-23
142,8 minutes,5,Powell St BART Station (Market St at 5th St),74,Laguna St at Hayes St,4968,Subscriber,1993,Female,27.0,2022-04-29
143,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5526,Subscriber,1975,Male,27.0,2019-10-11
144,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),134,Valencia St at 24th St,5485,Subscriber,1986,Other,26.0,2017-06-22
145,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3397,Subscriber,1992,Female,26.0,2022-04-29
146,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4728,Subscriber,1991,Female,27.0,2019-02-09
147,14 minutes,5,Powell St BART Station (Market St at 5th St),126,Esprit Park,1338,Subscriber,1984,Male,26.0,2019-01-07
148,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),86,Market St at Dolores St,4426,Subscriber,1987,Male,27.0,2018-10-14
149,17 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,149,Customer,1984,Male,27.0,2018-02-19
150,5 minutes,16,Steuart St at Market St,10,Washington St at Kearny St,3554,Subscriber,1989,Male,27.0,2019-03-25
151,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4319,Subscriber,1992,Male,26.0,2022-04-29
152,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5494,Subscriber,1994,Male,26.0,2022-04-29
