,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
1145,Shenandoah University,373700,5,1005.0,0.2542,0.7738,0.8204500978473499,1339.0,7604.0,0.744680851,19500,74666.57,27779.0
1146,Sweet Briar College,374200,5,1098.0,0.2836,0.5195,0.9494949494949398,749.0,6905.0,0.81300813,12594.5,72916.57,24606.0
1147,The University of Virginia's College at Wise,374700,5,942.0,0.4023,0.4162,0.7687140115163101,1447.0,5397.0,0.834782609,12000,48782.99,9062.0
1148,Virginia Polytechnic Institute and State University,375400,5,1210.0,0.172,0.4227,0.73406642728904,21428.0,10882.0,0.890760347,21500,77607.85,20172.0
1149,Virginia Commonwealth University,373500,5,1097.0,0.2857,0.5137,0.78953763077961,16505.0,8788.0,0.703014417,18750,72221.8,21741.0
1150,University of Virginia-Main Campus,374500,5,1364.0,0.1265,0.2594,0.29785992217897994,13712.0,13262.0,0.908944831,17250,79524.13,19430.0
1151,Virginia Military Institute,375300,5,1139.0,0.1406,0.4759,0.52838673412029,1300.0,7605.0,0.938461539,21500,73425.96,17687.0
1152,Virginia State University,376400,5,857.0,0.7212,0.8366,0.7697744360902199,3473.0,7291.0,0.514592934,21500,59119.77,13617.0
1153,Virginia Union University,376600,5,772.0,0.7385,0.8904,0.49039116805233,1241.0,5660.0,0.424242424,16500,59784.74,19160.0
1154,Virginia Wesleyan College,376700,5,982.0,0.4031,0.7102,0.9254054054054,1421.0,7700.0,0.811912226,17750,71508.51,24141.0
1155,Washington and Lee University,376800,5,1395.0,0.0952,0.2196,0.23879486702622,1705.0,12611.0,PrivacySuppressed,19500,80995.13,24472.0
1156,Central Washington University,377100,8,978.0,0.3511,0.5042,0.8161734900688999,7603.0,7781.0,0.724137931,15000,63170.67,15170.0
1157,Eastern Washington University,377500,8,970.0,0.3747,0.6586,0.8207510646535,7567.0,8178.0,0.851960784,15000,56952.77,13145.0
1158,The Evergreen State College,815500,8,1067.0,0.4536,0.5222,0.97878440366972,3901.0,7927.0,0.683050848,13168,63843.36,12633.0
1159,Gonzaga University,377800,8,1205.0,0.1677,0.4871,0.7348788824491,3019.0,8849.0,0.922572179,23500,67848.44,32083.0
1160,Northwest University,378300,8,996.0,0.3796,0.7484,0.6370757180156601,1039.0,6297.0,0.863387978,13000,71872.75,19226.0
1161,Pacific Lutheran University,378500,8,1117.0,0.3226,0.5783,0.75545128346674,3247.0,7398.0,0.888888889,21800,65366.76,24797.0
1162,Saint Martin's University,379400,8,1047.0,0.3372,0.4973,0.93121693121693,1100.0,6005.0,0.783783784,20795,61347.58,21355.0
1163,Seattle Pacific University,378800,8,1145.0,0.2993,0.6419,0.81614692940501,2692.0,8595.0,0.905660377,21500,72206.46,25995.0
1164,Seattle University,379000,8,1192.0,0.2037,0.5043,0.73020753266717,3303.0,8822.0,0.836041359,20500,70785.55,34164.0
1165,Walla Walla University,379900,8,1062.0,0.3031,0.5838,0.56442731277533,1580.0,5164.0,0.814516129,20288,59374.31,23198.0
1166,Washington State University,380000,8,1039.0,0.3426,0.4904,0.7964180916725602,4224.0,9589.0,0.863066202,14976.5,63710.0,17878.0
1167,University of Washington-Seattle Campus,379800,8,1223.0,0.2379,0.2988,0.5619410039508399,25987.0,11818.0,0.846880907,13125,69752.4,12947.0
1168,Western Washington University,380200,8,1114.0,0.2586,0.4671,0.8238195912614499,11564.0,8648.0,0.809911745,15000,66707.46,15957.0
1169,Whitman College,380300,8,1314.0,0.1008,0.4793,0.42717678100263,1424.0,8832.0,PrivacySuppressed,15750,70542.39,36433.0
1170,Alderson Broaddus University,380600,5,980.0,0.4778,0.9152,0.53685211602472,693.0,5017.0,0.81920904,11000,44559.33,17781.0
1171,Appalachian Bible College,754400,5,1012.0,0.4102,0.2237,0.47524752475247,302.0,3071.0,PrivacySuppressed,8750,52011.41,14116.0
1172,Bethany College,380800,5,907.0,0.4773,0.8336,0.7020547945205401,750.0,5800.0,0.851485149,18500,53018.22,17927.0
1173,Bluefield State College,380900,5,934.0,0.5656,0.5835,0.76860841423948,2648.0,6042.0,0.63963964,11444,36594.82,8348.0
1174,University of Charleston,381800,5,994.0,0.382,0.616,0.52437147255002,1035.0,6329.0,0.816901409,12750,50707.64,18621.0
1175,Concord University,381000,5,994.0,0.4971,0.7508,0.84906960716747,3048.0,6273.0,0.776357828,12169.5,41360.98,7808.0
1176,Davis & Elkins College,381100,5,928.0,0.4102,0.643,0.5852873563218299,668.0,5534.0,0.717241379,14250,46441.47,20067.0
1177,Fairmont State University,381200,5,962.0,0.5028,0.7112,0.6478966545213599,6496.0,6328.0,0.649942988,12500,42179.08,8550.0
1178,Glenville State College,381300,5,913.0,0.364,0.4046,0.7249825052484201,2126.0,5949.0,0.568807339,11000,38830.31,16061.0
1179,Marshall University,381500,5,1028.0,0.4354,0.5862,0.87904703726328,11621.0,7012.0,0.643231114,14250,45141.01,9508.0
1180,Potomac State College of West Virginia University,382711,5,1073.0,0.5357,0.5558,0.84418376120869,1109.0,5627.0,0.821509263,15000,57483.6,8744.0
1181,Shepherd University,382200,5,995.0,0.3329,0.5498,0.89866504854368,4703.0,6651.0,0.709269663,13750,62744.63,10179.0
1182,West Virginia State University,382600,5,927.0,0.4434,0.5192,0.94093120222376,4824.0,6056.0,0.53221957,11100,48790.55,7490.0
1183,West Liberty University,382300,5,984.0,0.387,0.5907,0.7210401891252901,2606.0,6391.0,0.700288184,17000,46862.0,12222.0
1184,West Virginia Wesleyan College,383000,5,1015.0,0.3489,0.6719,0.77216610549943,1581.0,5752.0,0.853281853,15000,54372.93,18575.0
1185,West Virginia University,382700,5,1073.0,0.2559,0.5235,0.84418376120869,15463.0,9389.0,0.821509263,15000,57483.6,11206.0
1186,Wheeling Jesuit University,383100,5,1032.0,0.2452,0.6639,0.60723089564502,1264.0,5958.0,0.886792453,18440,49606.73,19113.0
1187,Alverno College,383200,3,910.0,0.5966,0.8549,0.7716150081566,1808.0,5723.0,0.740853659,24952,58784.16,16794.0
1188,Cardinal Stritch University,383700,3,1028.0,0.4224,0.7140000000000001,0.76883780332056,3124.0,5524.0,0.742474916,24000,64348.07,18979.0
1189,Carroll University,383800,3,1087.0,0.2614,0.7167,0.93966623876765,2681.0,6950.0,0.888734353,23250,73362.92,22946.0
1190,Carthage College,383900,3,1145.0,0.2825,0.8242,0.70242745535714,2147.0,8052.0,0.878612717,21511.5,76392.24,35473.0
1191,Concordia University-Wisconsin,384200,3,1052.0,0.321,0.6605,0.67535853976531,3852.0,8088.0,0.759322034,15015,64715.84,23730.0
1192,Edgewood College,384800,3,1050.0,0.3566,0.7618,0.76810344827586,1520.0,5842.0,0.872901679,19140,68115.77,22841.0
