,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3891,8,30,2,UA,137,ORD,8.1,269,7.0,2971.0,0.0,"(7,[0],[1.0])",[2971.0]
3892,10,27,4,AA,2450,SFO,12.25,85,43.0,542.0,1.0,"(7,[1],[1.0])",[542.0]
3893,10,14,5,B6,1053,JFK,15.33,115,-8.0,547.0,2.0,"(7,[2],[1.0])",[547.0]
3894,6,17,4,OO,6456,SFO,9.3,73,58.0,509.0,1.0,"(7,[1],[1.0])",[509.0]
3895,9,6,1,B6,1016,JFK,19.0,100,0.0,301.0,2.0,"(7,[2],[1.0])",[301.0]
3896,3,1,2,OO,6467,SMF,10.77,89,-1.0,600.0,4.0,"(7,[4],[1.0])",[600.0]
3897,10,19,3,OO,5571,SFO,9.0,79,-5.0,422.0,1.0,"(7,[1],[1.0])",[422.0]
3898,1,6,3,UA,669,LGA,7.0,156,31.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3899,4,16,5,B6,19,JFK,7.92,180,16.0,1720.0,2.0,"(7,[2],[1.0])",[1720.0]
3900,0,7,1,OO,5946,ORD,15.25,121,70.0,946.0,0.0,"(7,[0],[1.0])",[946.0]
3901,11,20,6,OO,6412,SFO,22.5,97,36.0,726.0,1.0,"(7,[1],[1.0])",[726.0]
3902,7,19,2,B6,643,JFK,10.75,370,11.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
3903,0,5,6,UA,1187,SFO,19.33,69,53.0,525.0,1.0,"(7,[1],[1.0])",[525.0]
3904,2,8,6,US,1561,LGA,15.67,100,121.0,539.0,3.0,"(7,[3],[1.0])",[539.0]
3905,5,24,2,OH,5659,JFK,12.92,104,61.0,684.0,2.0,"(7,[2],[1.0])",[684.0]
3906,6,19,6,UA,982,ORD,18.0,117,-4.0,948.0,0.0,"(7,[0],[1.0])",[948.0]
3907,5,8,0,UA,690,ORD,16.95,143,52.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
3908,11,25,4,AA,2420,ORD,6.58,170,-11.0,1802.0,0.0,"(7,[0],[1.0])",[1802.0]
3909,9,4,6,WN,2538,TUS,17.25,75,30.0,587.0,7.0,"(7,[],[])",[587.0]
3910,6,26,6,UA,27,JFK,15.67,371,10.0,3983.0,2.0,"(7,[2],[1.0])",[3983.0]
3911,7,27,3,AA,356,ORD,9.42,130,20.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
3912,1,17,0,US,208,SJC,16.2,110,32.0,999.0,5.0,"(7,[5],[1.0])",[999.0]
3913,10,28,5,AA,1994,SFO,9.5,200,33.0,2356.0,1.0,"(7,[1],[1.0])",[2356.0]
3914,1,5,2,AA,1823,ORD,9.0,170,-1.0,1841.0,0.0,"(7,[0],[1.0])",[1841.0]
3915,2,7,5,HA,40,OGG,16.25,310,-8.0,4123.0,6.0,"(7,[6],[1.0])",[4123.0]
3916,6,14,1,B6,916,ORD,16.08,147,21.0,1191.0,0.0,"(7,[0],[1.0])",[1191.0]
3917,2,5,3,OO,6062,ORD,15.75,48,30.0,108.0,0.0,"(7,[0],[1.0])",[108.0]
3918,3,20,0,OO,6189,ORD,15.13,102,-7.0,840.0,0.0,"(7,[0],[1.0])",[840.0]
3919,1,6,3,AA,444,ORD,10.08,135,,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
3920,6,11,5,UA,127,ORD,18.72,261,1.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
3921,0,26,6,OO,5920,ORD,16.67,48,58.0,135.0,0.0,"(7,[0],[1.0])",[135.0]
3922,10,5,3,AA,1242,SJC,6.58,210,-7.0,2314.0,5.0,"(7,[5],[1.0])",[2314.0]
3923,2,22,6,B6,1107,JFK,15.92,110,70.0,686.0,2.0,"(7,[2],[1.0])",[686.0]
3924,5,27,5,US,2187,LGA,19.0,73,,344.0,3.0,"(7,[3],[1.0])",[344.0]
3925,10,8,6,AA,1612,SFO,9.67,255,-20.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
3926,2,20,4,UA,1114,ORD,13.48,119,6.0,1260.0,0.0,"(7,[0],[1.0])",[1260.0]
3927,1,25,1,AA,194,SFO,14.42,325,-10.0,4352.0,1.0,"(7,[1],[1.0])",[4352.0]
3928,0,12,6,UA,720,SFO,14.42,147,231.0,1556.0,1.0,"(7,[1],[1.0])",[1556.0]
3929,3,19,6,AA,459,ORD,9.83,175,6.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3930,5,24,2,B6,1010,JFK,14.92,78,16.0,301.0,2.0,"(7,[2],[1.0])",[301.0]
3931,8,2,2,B6,709,JFK,6.0,224,-6.0,2570.0,2.0,"(7,[2],[1.0])",[2570.0]
3932,8,14,0,AA,2455,ORD,7.5,220,-3.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
3933,10,10,1,AA,1223,ORD,18.67,270,-14.0,2770.0,0.0,"(7,[0],[1.0])",[2770.0]
3934,6,10,4,UA,892,SFO,10.2,354,16.0,4162.0,1.0,"(7,[1],[1.0])",[4162.0]
3935,8,1,1,OO,6091,ORD,12.62,115,-9.0,941.0,0.0,"(7,[0],[1.0])",[941.0]
3936,11,24,3,WN,3349,SMF,15.25,80,26.0,600.0,4.0,"(7,[4],[1.0])",[600.0]
3937,0,8,2,UA,1506,SFO,18.22,117,,1048.0,1.0,"(7,[1],[1.0])",[1048.0]
3938,1,4,1,OO,6531,ORD,15.92,90,232.0,658.0,0.0,"(7,[0],[1.0])",[658.0]
3939,9,9,4,OO,6019,ORD,17.78,96,-11.0,744.0,0.0,"(7,[0],[1.0])",[744.0]
3940,1,23,6,OO,6045,ORD,9.8,105,1.0,744.0,0.0,"(7,[0],[1.0])",[744.0]
3941,8,5,5,US,2130,LGA,14.0,71,-5.0,298.0,3.0,"(7,[3],[1.0])",[298.0]
3942,0,1,2,UA,432,ORD,13.63,110,34.0,964.0,0.0,"(7,[0],[1.0])",[964.0]
3943,0,4,5,OO,5443,SFO,15.92,101,112.0,529.0,1.0,"(7,[1],[1.0])",[529.0]
3944,5,3,2,OO,5985,ORD,19.67,80,24.0,520.0,0.0,"(7,[0],[1.0])",[520.0]
3945,6,4,5,B6,83,JFK,20.58,380,-36.0,3896.0,2.0,"(7,[2],[1.0])",[3896.0]
3946,11,27,6,B6,45,JFK,8.08,186,-25.0,1617.0,2.0,"(7,[2],[1.0])",[1617.0]
