,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3529,10,21,5,AA,1184,ORD,11.83,130,12.0,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
3530,10,21,5,AA,1823,ORD,9.58,180,-9.0,1841.0,0.0,"(7,[0],[1.0])",[1841.0]
3531,10,21,5,AA,2345,ORD,17.42,160,-6.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3532,10,21,5,B6,619,JFK,20.98,171,-23.0,1334.0,2.0,"(7,[2],[1.0])",[1334.0]
3533,10,21,5,B6,819,JFK,14.48,175,2.0,1519.0,2.0,"(7,[2],[1.0])",[1519.0]
3534,10,21,5,OH,6467,LGA,17.18,120,29.0,694.0,3.0,"(7,[3],[1.0])",[694.0]
3535,10,21,5,OO,5451,SFO,18.45,81,-18.0,402.0,1.0,"(7,[1],[1.0])",[402.0]
3536,10,21,5,OO,6181,ORD,12.2,44,16.0,135.0,0.0,"(7,[0],[1.0])",[135.0]
3537,10,21,5,OO,6585,ORD,14.93,63,0.0,343.0,0.0,"(7,[0],[1.0])",[343.0]
3538,10,21,5,UA,148,ORD,15.65,130,27.0,1091.0,0.0,"(7,[0],[1.0])",[1091.0]
3539,10,21,5,UA,515,ORD,20.17,274,17.0,2866.0,0.0,"(7,[0],[1.0])",[2866.0]
3540,10,21,5,UA,1479,ORD,17.35,235,77.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
3541,10,21,5,UA,1597,ORD,17.82,246,71.0,2438.0,0.0,"(7,[0],[1.0])",[2438.0]
3542,10,21,5,US,284,SJC,18.17,109,-9.0,999.0,5.0,"(7,[5],[1.0])",[999.0]
3543,10,21,5,US,670,ORD,5.75,126,45.0,1091.0,0.0,"(7,[0],[1.0])",[1091.0]
3544,10,21,5,WN,2039,SFO,21.92,90,-29.0,666.0,1.0,"(7,[1],[1.0])",[666.0]
3545,10,21,5,WN,2475,SJC,16.83,75,26.0,496.0,5.0,"(7,[5],[1.0])",[496.0]
3546,10,22,6,AA,16,SFO,11.83,330,21.0,4162.0,1.0,"(7,[1],[1.0])",[4162.0]
3547,10,22,6,B6,916,ORD,16.08,147,41.0,1191.0,0.0,"(7,[0],[1.0])",[1191.0]
3548,10,22,6,HA,105,OGG,6.4,34,3.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
3549,10,22,6,OO,5446,SFO,10.4,66,131.0,307.0,1.0,"(7,[1],[1.0])",[307.0]
3550,10,22,6,OO,5560,SFO,7.7,40,-4.0,124.0,1.0,"(7,[1],[1.0])",[124.0]
3551,10,22,6,UA,566,ORD,18.05,120,-26.0,975.0,0.0,"(7,[0],[1.0])",[975.0]
3552,10,22,6,UA,907,ORD,17.58,289,9.0,2971.0,0.0,"(7,[0],[1.0])",[2971.0]
3553,10,22,6,UA,1003,OGG,16.2,40,0.0,135.0,6.0,"(7,[6],[1.0])",[135.0]
3554,10,22,6,WN,1010,SFO,18.0,150,-13.0,1556.0,1.0,"(7,[1],[1.0])",[1556.0]
3555,10,23,0,AA,301,LGA,6.0,150,-12.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3556,10,23,0,AA,1229,LGA,12.0,195,-38.0,1666.0,3.0,"(7,[3],[1.0])",[1666.0]
3557,10,23,0,OH,6377,JFK,14.83,105,-32.0,463.0,2.0,"(7,[2],[1.0])",[463.0]
3558,10,23,0,OH,6497,LGA,9.1,168,-39.0,1162.0,3.0,"(7,[3],[1.0])",[1162.0]
3559,10,23,0,OH,6549,JFK,8.48,147,-10.0,948.0,2.0,"(7,[2],[1.0])",[948.0]
3560,10,23,0,OO,4484,SFO,6.17,113,-3.0,964.0,1.0,"(7,[1],[1.0])",[964.0]
3561,10,23,0,UA,1528,ORD,19.33,187,-4.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3562,10,23,0,US,2183,LGA,17.0,75,-25.0,344.0,3.0,"(7,[3],[1.0])",[344.0]
3563,10,23,0,WN,997,SMF,12.5,85,-3.0,772.0,4.0,"(7,[4],[1.0])",[772.0]
3564,10,23,0,WN,1766,SMF,7.83,75,30.0,626.0,4.0,"(7,[4],[1.0])",[626.0]
3565,10,24,1,AA,1503,ORD,12.08,170,-11.0,1802.0,0.0,"(7,[0],[1.0])",[1802.0]
3566,10,24,1,OO,5608,SFO,14.62,60,6.0,254.0,1.0,"(7,[1],[1.0])",[254.0]
3567,10,24,1,UA,341,ORD,9.75,94,-17.0,669.0,0.0,"(7,[0],[1.0])",[669.0]
3568,10,24,1,UA,654,ORD,15.92,148,42.0,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
3569,10,24,1,UA,1590,SFO,12.83,98,-4.0,666.0,1.0,"(7,[1],[1.0])",[666.0]
3570,10,24,1,US,1251,ORD,6.0,114,-3.0,964.0,0.0,"(7,[0],[1.0])",[964.0]
3571,10,25,2,AA,1964,ORD,12.92,180,-5.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3572,10,25,2,B6,377,LGA,13.42,179,30.0,1732.0,3.0,"(7,[3],[1.0])",[1732.0]
3573,10,25,2,OH,6467,LGA,16.98,120,6.0,694.0,3.0,"(7,[3],[1.0])",[694.0]
3574,10,25,2,OO,6449,ORD,17.25,210,14.0,2010.0,0.0,"(7,[0],[1.0])",[2010.0]
3575,10,25,2,US,408,SFO,17.25,119,-6.0,1048.0,1.0,"(7,[1],[1.0])",[1048.0]
3576,10,25,2,WN,1489,SMF,14.5,75,1.0,626.0,4.0,"(7,[4],[1.0])",[626.0]
3577,10,25,2,WN,2994,SMF,11.5,70,2.0,576.0,4.0,"(7,[4],[1.0])",[576.0]
3578,10,26,3,AA,1291,JFK,5.75,200,-15.0,1754.0,2.0,"(7,[2],[1.0])",[1754.0]
3579,10,26,3,AA,1342,ORD,18.75,155,-20.0,1617.0,0.0,"(7,[0],[1.0])",[1617.0]
3580,10,26,3,AA,1635,JFK,12.67,235,-22.0,2570.0,2.0,"(7,[2],[1.0])",[2570.0]
3581,10,26,3,AA,1677,ORD,18.67,260,-7.0,2778.0,0.0,"(7,[0],[1.0])",[2778.0]
3582,10,26,3,B6,1065,JFK,13.0,259,-25.0,2449.0,2.0,"(7,[2],[1.0])",[2449.0]
3583,10,26,3,OO,4859,SMF,9.92,99,-10.0,856.0,4.0,"(7,[4],[1.0])",[856.0]
3584,10,26,3,OO,5496,SFO,22.5,61,1.0,307.0,1.0,"(7,[1],[1.0])",[307.0]
3585,10,26,3,OO,5554,SFO,15.9,79,50.0,422.0,1.0,"(7,[1],[1.0])",[422.0]
3586,10,26,3,OO,6412,SFO,22.4,97,2.0,726.0,1.0,"(7,[1],[1.0])",[726.0]
3587,10,26,3,UA,1137,SFO,17.52,88,-12.0,542.0,1.0,"(7,[1],[1.0])",[542.0]
3588,10,26,3,US,722,ORD,16.42,125,13.0,1091.0,0.0,"(7,[0],[1.0])",[1091.0]
3589,10,26,3,US,1776,TUS,9.75,213,-2.0,2792.0,7.0,"(7,[],[])",[2792.0]
3590,10,27,4,AA,1872,ORD,12.67,155,-18.0,1617.0,0.0,"(7,[0],[1.0])",[1617.0]
3591,10,27,4,AA,2450,SFO,12.25,85,43.0,542.0,1.0,"(7,[1],[1.0])",[542.0]
3592,10,27,4,OO,5423,SFO,13.67,97,64.0,529.0,1.0,"(7,[1],[1.0])",[529.0]
3593,10,27,4,UA,265,ORD,15.58,154,-27.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3594,10,27,4,UA,704,SFO,7.33,109,-14.0,885.0,1.0,"(7,[1],[1.0])",[885.0]
3595,10,28,5,AA,510,ORD,19.42,75,-18.0,378.0,0.0,"(7,[0],[1.0])",[378.0]
3596,10,28,5,AA,1994,SFO,9.5,200,33.0,2356.0,1.0,"(7,[1],[1.0])",[2356.0]
3597,10,28,5,AA,2057,ORD,8.5,275,-15.0,3335.0,0.0,"(7,[0],[1.0])",[3335.0]
3598,10,28,5,B6,87,JFK,20.33,338,-42.0,3201.0,2.0,"(7,[2],[1.0])",[3201.0]
3599,10,28,5,B6,1051,JFK,8.0,110,-29.0,547.0,2.0,"(7,[2],[1.0])",[547.0]
3600,10,28,5,OO,6396,SFO,9.75,72,24.0,525.0,1.0,"(7,[1],[1.0])",[525.0]
3601,10,28,5,UA,136,SFO,9.85,253,0.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
3602,10,28,5,UA,1415,ORD,16.25,158,-16.0,1617.0,0.0,"(7,[0],[1.0])",[1617.0]
3603,10,28,5,US,780,SFO,22.67,276,22.0,3695.0,1.0,"(7,[1],[1.0])",[3695.0]
3604,10,28,5,WN,2950,SJC,9.5,70,-2.0,536.0,5.0,"(7,[5],[1.0])",[536.0]
3605,10,29,6,AA,1342,ORD,18.75,155,-8.0,1617.0,0.0,"(7,[0],[1.0])",[1617.0]
3606,10,29,6,B6,377,LGA,13.42,179,-6.0,1732.0,3.0,"(7,[3],[1.0])",[1732.0]
3607,10,29,6,OH,6445,JFK,11.42,165,20.0,1436.0,2.0,"(7,[2],[1.0])",[1436.0]
3608,10,29,6,OO,5491,SFO,11.37,60,62.0,254.0,1.0,"(7,[1],[1.0])",[254.0]
3609,10,29,6,OO,6015,ORD,9.73,117,-32.0,896.0,0.0,"(7,[0],[1.0])",[896.0]
3610,10,29,6,OO,6087,ORD,11.98,102,0.0,790.0,0.0,"(7,[0],[1.0])",[790.0]
3611,10,29,6,UA,35,SFO,9.42,323,-11.0,3763.0,1.0,"(7,[1],[1.0])",[3763.0]
3612,10,29,6,UA,176,SFO,11.57,335,32.0,4352.0,1.0,"(7,[1],[1.0])",[4352.0]
3613,10,29,6,UA,243,ORD,8.02,156,-19.0,1429.0,0.0,"(7,[0],[1.0])",[1429.0]
3614,10,29,6,WN,199,SFO,14.0,100,-15.0,666.0,1.0,"(7,[1],[1.0])",[666.0]
3615,10,30,0,AA,329,LGA,13.0,165,42.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3616,10,30,0,AA,335,LGA,15.17,160,167.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3617,10,30,0,AA,454,ORD,13.58,105,92.0,1041.0,0.0,"(7,[0],[1.0])",[1041.0]
3618,10,30,0,AA,2321,ORD,11.0,160,-30.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3619,10,30,0,OH,6445,JFK,11.42,165,82.0,1436.0,2.0,"(7,[2],[1.0])",[1436.0]
