,max_depth,min_samples_leaf,learn_rate,accuracy
182,17,7,1.425704698,49
183,51,4,0.584295302,49
184,17,14,1.158590604,49
185,11,9,1.813020134,49
186,40,3,0.397315436,49
187,6,7,1.158590604,49
188,16,3,1.185302013,49
189,25,16,0.89147651,49
190,60,4,0.624362416,49
191,61,14,0.38395973200000005,49
192,36,4,0.290469799,49
193,21,6,0.931543624,49
194,31,9,0.7178523490000001,49
195,62,11,0.263758389,48
196,18,5,1.986644295,48
197,20,15,1.4791275169999998,48
198,3,4,1.599328859,48
199,29,7,0.757919463,48
200,1,5,1.8397315440000002,48
201,63,4,0.063422819,48
202,10,6,1.198657718,48
203,13,9,1.171946309,48
204,11,7,1.4123489930000002,48
205,18,5,1.398993289,48
206,9,11,1.4123489930000002,48
207,57,15,0.196979866,48
208,61,3,0.651073826,48
209,17,3,1.8397315440000002,47
210,15,13,1.278791946,47
211,50,10,0.130201342,47
212,21,13,0.784630872,47
213,61,16,0.5976510070000001,47
214,4,7,1.011677852,47
215,47,3,0.984966443,47
216,37,7,0.530872483,47
217,16,14,1.9332214769999998,47
218,22,10,0.317181208,47
219,61,5,0.878120805,47
220,6,6,1.519194631,47
221,10,5,1.559261745,46
222,12,3,1.6661073830000002,46
223,23,12,0.971610738,46
224,33,5,0.343892617,46
225,13,3,1.986644295,46
226,55,11,0.504161074,46
227,62,7,0.023355705,46
228,20,4,1.425704698,46
229,19,6,1.8397315440000002,46
230,10,8,1.9465771809999999,46
231,37,3,0.01,46
232,47,13,0.637718121,46
233,48,6,0.998322148,46
234,3,13,1.786308725,46
235,14,9,1.612684564,46
236,55,8,0.277114094,46
237,9,10,1.31885906,46
238,15,6,1.6661073830000002,46
239,22,8,0.517516779,45
240,55,3,0.290469799,45
241,4,7,1.6260402680000001,45
242,16,4,1.706174497,45
243,34,12,0.637718121,45
244,10,9,1.4924832209999999,45
245,57,11,0.757919463,45
246,30,7,0.517516779,45
247,8,14,1.158590604,45
248,55,10,0.771275168,45
249,21,14,0.277114094,44
250,37,5,0.904832215,44
251,42,16,0.677785235,44
252,16,10,1.6260402680000001,44
253,45,12,0.9448993290000001,44
254,24,7,0.797986577,44
255,33,3,0.09013422800000001,44
256,46,4,0.277114094,44
257,42,7,0.09013422800000001,44
258,31,5,0.651073826,44
259,46,15,0.7178523490000001,43
260,38,9,0.878120805,43
261,48,11,0.530872483,43
262,1,5,0.397315436,43
263,30,9,0.21033557,43
264,14,8,1.038389262,43
265,28,16,0.677785235,43
266,12,6,1.372281879,43
267,41,4,0.530872483,42
268,64,14,0.050067114,42
269,26,6,0.984966443,42
270,20,10,1.559261745,42
271,8,9,1.252080537,42
272,33,12,0.8380536909999999,42
273,32,9,0.38395973200000005,42
274,17,11,1.34557047,42
275,49,14,0.811342282,42
276,3,13,1.9332214769999998,42
277,10,11,1.212013423,42
278,16,13,1.612684564,41
279,60,16,0.998322148,41
280,60,9,0.023355705,41
281,8,14,1.305503356,41
282,30,5,0.611006711,41
283,49,4,0.130201342,41
284,53,9,0.517516779,41
285,29,12,0.38395973200000005,41
286,9,9,1.34557047,40
287,47,8,0.797986577,40
288,25,6,0.744563758,40
289,3,6,1.34557047,40
290,49,6,0.744563758,40
291,43,7,0.063422819,39
292,32,5,0.904832215,38
293,46,3,0.9181879190000001,38
294,38,5,0.878120805,38
295,32,5,0.624362416,38
296,22,11,1.77295302,37
297,23,12,0.517516779,37
298,38,12,0.8246979870000001,37
299,32,6,0.784630872,37
300,56,7,0.69114094,37
301,50,5,0.7312080540000001,37
302,56,5,0.477449664,36
303,60,8,0.263758389,36
304,44,15,1.786308725,36
305,59,5,0.21033557,36
306,28,4,0.8647651009999999,36
307,45,12,1.2253691279999999,35
308,24,6,0.8380536909999999,35
309,27,5,0.076778523,35
310,29,9,0.878120805,35
311,58,15,1.0784563759999999,35
312,29,5,0.797986577,35
313,51,9,0.8246979870000001,34
314,51,3,0.370604027,34
315,51,14,1.238724832,34
316,51,8,0.66442953,34
317,61,6,0.170268456,33
318,27,9,0.9181879190000001,33
319,51,5,0.156912752,33
320,55,8,0.677785235,33
321,33,11,1.11852349,33
322,46,5,0.931543624,33
323,36,13,1.706174497,32
324,30,13,1.131879195,32
325,22,6,0.624362416,32
326,21,13,1.906510067,31
327,61,6,0.584295302,31
328,51,10,1.265436242,31
329,64,14,1.906510067,30
330,54,13,1.719530201,30
331,21,13,1.252080537,30
332,23,14,1.973288591,30
333,25,4,0.904832215,30
334,54,3,0.156912752,29
335,48,10,1.025033557,29
336,52,7,0.397315436,29
337,60,6,0.757919463,29
338,34,7,0.69114094,29
339,61,8,0.971610738,28
340,22,12,1.959932886,28
341,49,3,0.530872483,28
342,51,3,0.290469799,28
343,53,9,0.01,28
344,29,8,0.076778523,28
345,36,14,1.8397315440000002,28
346,43,13,1.425704698,28
347,59,16,1.639395973,27
348,22,9,0.156912752,27
349,56,5,0.744563758,27
350,34,8,0.517516779,27
351,51,9,0.984966443,27
352,45,8,0.7178523490000001,27
353,35,10,1.038389262,27
354,45,4,0.7312080540000001,27
355,43,12,1.7462416109999999,27
356,61,5,0.357248322,27
357,63,15,1.959932886,26
358,24,14,1.398993289,26
359,22,5,0.277114094,26
360,61,4,0.23704698,26
361,49,5,0.9448993290000001,26
362,34,3,0.878120805,26
363,47,5,0.410671141,26
364,48,5,0.343892617,26
365,44,11,1.79966443,26
366,50,12,1.959932886,26
367,24,5,0.677785235,26
368,41,12,1.3856375840000001,25
369,42,10,1.3856375840000001,25
370,39,3,0.317181208,25
371,53,12,1.439060403,24
372,38,8,0.9181879190000001,24
373,40,11,1.4924832209999999,24
374,50,9,0.784630872,24
375,27,9,0.504161074,24
376,35,7,0.410671141,24
377,43,10,1.559261745,24
378,44,9,0.343892617,23
379,27,7,0.09013422800000001,23
380,25,7,0.130201342,23
381,21,4,1.532550336,23
382,40,15,1.131879195,23
383,29,10,1.6527516780000002,23
384,60,8,1.9332214769999998,22
385,54,6,1.265436242,22
386,63,8,1.79966443,22
387,29,9,1.6527516780000002,22
388,59,15,1.4657718119999998,22
389,64,16,1.439060403,22
390,36,10,1.171946309,22
391,50,8,1.8797986580000001,22
392,54,8,1.0784563759999999,22
393,38,5,1.54590604,22
394,41,8,0.317181208,22
395,40,6,1.813020134,22
396,59,6,0.036711409,22
397,57,13,2.0,21
398,64,9,1.185302013,21
399,24,9,1.358926174,21
400,57,11,1.0784563759999999,21
401,40,6,1.57261745,21
402,63,11,2.0,21
403,46,9,1.893154362,21
404,47,15,1.452416107,21
405,55,10,1.706174497,21
406,25,16,1.452416107,21
407,35,3,1.532550336,21
408,33,14,1.252080537,21
409,53,12,1.212013423,21
410,52,16,1.906510067,21
411,62,15,1.612684564,20
412,31,9,1.238724832,20
413,64,12,1.4924832209999999,20
414,43,4,1.31885906,19
415,53,9,1.305503356,19
416,52,5,1.252080537,19
417,38,10,1.6260402680000001,19
418,40,11,1.011677852,19
419,55,16,1.786308725,19
420,31,5,1.252080537,19
421,36,9,1.79966443,19
422,59,14,1.278791946,19
423,23,6,0.984966443,19
424,52,15,1.305503356,18
425,31,16,1.505838926,18
426,50,12,1.826375839,18
427,62,6,1.826375839,18
428,48,12,1.332214765,18
429,64,8,1.986644295,18
430,59,9,1.826375839,18
431,60,3,1.105167785,18
432,31,8,1.278791946,18
433,31,11,1.826375839,18
434,42,4,1.252080537,17
435,29,15,1.372281879,17
436,61,16,1.198657718,17
437,23,14,1.278791946,17
438,23,3,1.719530201,17
439,24,7,1.6794630869999998,17
440,59,16,1.7462416109999999,17
441,25,4,1.8397315440000002,17
442,32,7,1.9465771809999999,17
443,28,7,1.786308725,17
444,62,3,1.11852349,16
445,49,3,1.8797986580000001,16
446,51,8,1.9332214769999998,16
447,22,8,1.011677852,16
448,29,6,1.158590604,16
449,34,11,1.332214765,16
450,35,11,1.6527516780000002,16
451,23,3,1.6794630869999998,16
452,56,7,1.131879195,16
453,55,11,1.906510067,16
454,33,8,1.0784563759999999,16
455,53,4,1.9332214769999998,16
456,43,5,1.639395973,16
457,35,8,1.171946309,16
458,44,5,1.439060403,16
459,58,11,1.906510067,16
460,30,10,1.252080537,16
461,64,12,1.011677852,15
462,31,5,1.759597315,15
463,32,13,1.6794630869999998,15
464,45,7,1.185302013,15
465,52,9,1.4657718119999998,15
466,60,16,1.853087248,15
467,42,10,1.452416107,15
468,39,6,1.813020134,15
469,54,15,1.8397315440000002,15
470,61,16,1.051744966,15
471,29,13,1.9332214769999998,14
472,45,4,1.826375839,14
473,50,7,1.025033557,14
474,23,10,2.0,14
475,64,15,1.639395973,14
476,51,9,1.011677852,13
477,44,9,1.452416107,13
478,33,7,1.9465771809999999,13
479,52,16,1.9465771809999999,13
480,41,5,1.332214765,13
481,42,5,1.011677852,12
482,45,12,1.8797986580000001,12
483,34,4,1.986644295,12
484,34,15,1.732885906,12
485,25,8,1.57261745,11
486,41,9,1.79966443,11
487,45,7,1.54590604,11
488,53,3,1.79966443,11
489,53,6,1.332214765,11
490,52,16,1.5859731540000002,10
491,54,5,1.0784563759999999,10
492,56,10,1.9198657719999999,10
493,31,3,1.959932886,10
494,22,3,1.398993289,10
495,40,4,1.6260402680000001,10
496,26,6,1.8397315440000002,10
497,58,4,1.786308725,10
498,44,8,1.599328859,10
499,27,6,1.372281879,10
