,movie_id,genre
8339,36668,Science Fiction
8362,36819,Science Fiction
8403,37686,Science Fiction
8407,37707,Science Fiction
8453,38050,Science Fiction
8457,38055,Science Fiction
8482,38321,Science Fiction
8490,38356,Science Fiction
8511,38541,Science Fiction
8563,39254,Science Fiction
8578,39513,Science Fiction
8586,39538,Science Fiction
8620,40160,Science Fiction
8668,41154,Science Fiction
8727,42033,Science Fiction
8736,42188,Science Fiction
8754,42684,Science Fiction
8798,43630,Science Fiction
8821,43933,Science Fiction
8826,43935,Science Fiction
8888,44833,Science Fiction
8907,44912,Science Fiction
8910,44943,Science Fiction
8946,45612,Science Fiction
8960,45767,Science Fiction
9004,46529,Science Fiction
9012,46729,Science Fiction
9059,47933,Science Fiction
9124,49047,Science Fiction
9125,49049,Science Fiction
9148,49521,Science Fiction
9162,49529,Science Fiction
9165,49530,Science Fiction
9170,49538,Science Fiction
9197,50037,Science Fiction
9209,50357,Science Fiction
9254,50942,Science Fiction
9280,51955,Science Fiction
9288,52010,Science Fiction
9293,52015,Science Fiction
9317,53502,Science Fiction
9326,54138,Science Fiction
9351,55420,Science Fiction
9392,56715,Science Fiction
9429,57876,Science Fiction
9478,59457,Science Fiction
9481,59678,Science Fiction
9507,59967,Science Fiction
9542,61791,Science Fiction
9549,61984,Science Fiction
9572,62215,Science Fiction
9594,62764,Science Fiction
9707,68179,Science Fiction
9712,68684,Science Fiction
9717,68721,Science Fiction
9722,68724,Science Fiction
9727,68726,Science Fiction
9768,70160,Science Fiction
9778,70687,Science Fiction
9786,70981,Science Fiction
9793,71469,Science Fiction
9800,71679,Science Fiction
9821,72190,Science Fiction
9847,72545,Science Fiction
9851,72559,Science Fiction
9856,72710,Science Fiction
9916,75612,Science Fiction
9940,76170,Science Fiction
9950,76341,Science Fiction
9983,76726,Science Fiction
9987,76757,Science Fiction
9998,77156,Science Fiction
10073,79698,Science Fiction
10084,80274,Science Fiction
10111,81796,Science Fiction
10156,82700,Science Fiction
10169,83542,Science Fiction
10194,84204,Science Fiction
10200,84329,Science Fiction
10205,84332,Science Fiction
10220,86304,Science Fiction
10227,86812,Science Fiction
10243,87101,Science Fiction
10246,87421,Science Fiction
10265,88005,Science Fiction
10271,88751,Science Fiction
10298,91314,Science Fiction
10338,97020,Science Fiction
10342,97370,Science Fiction
10364,98566,Science Fiction
10370,98568,Science Fiction
10375,99861,Science Fiction
10383,100402,Science Fiction
10395,101299,Science Fiction
10411,102899,Science Fiction
10434,106845,Science Fiction
10442,107985,Science Fiction
10479,110402,Science Fiction
10483,110415,Science Fiction
10537,118340,Science Fiction
10550,119450,Science Fiction
10565,122906,Science Fiction
10586,125490,Science Fiction
10605,127585,Science Fiction
10617,131631,Science Fiction
10619,131634,Science Fiction
10640,134371,Science Fiction
10651,135397,Science Fiction
10676,137113,Science Fiction
10744,146631,Science Fiction
10772,152601,Science Fiction
10805,157336,Science Fiction
10809,157350,Science Fiction
10812,157353,Science Fiction
10831,158015,Science Fiction
10841,158852,Science Fiction
10870,166424,Science Fiction
11004,188927,Science Fiction
11010,190847,Science Fiction
11034,192577,Science Fiction
11056,198184,Science Fiction
11064,198663,Science Fiction
11069,199933,Science Fiction
11093,205126,Science Fiction
11114,206213,Science Fiction
11158,211557,Science Fiction
11181,218043,Science Fiction
11227,227156,Science Fiction
11237,227719,Science Fiction
11247,228066,Science Fiction
11255,228161,Science Fiction
11292,238603,Science Fiction
11295,238615,Science Fiction
11308,240832,Science Fiction
11332,242095,Science Fiction
11347,244267,Science Fiction
11365,245703,Science Fiction
11376,246655,Science Fiction
11478,257344,Science Fiction
11508,262500,Science Fiction
11510,262504,Science Fiction
11512,262543,Science Fiction
11520,264660,Science Fiction
11558,269057,Science Fiction
11565,270554,Science Fiction
11574,271110,Science Fiction
11670,286217,Science Fiction
11691,289180,Science Fiction
11692,290370,Science Fiction
11772,297761,Science Fiction
11783,299687,Science Fiction
11861,312793,Science Fiction
11874,315011,Science Fiction
11904,320146,Science Fiction
11948,326576,Science Fiction
11970,331592,Science Fiction
11984,333355,Science Fiction
11989,333371,Science Fiction
12000,335866,Science Fiction
12020,347548,Science Fiction
12063,360188,Science Fiction
12092,367551,Science Fiction
12100,371690,Science Fiction
