id,budget,revenue
1858,150000000,709709780.0
1966,155000000,167298192.0
675,150000000,938212738.0
674,150000000,895921036.0
8960,150000000,624029371.0
6479,150000000,585349010.0
118,150000000,474968763.0
2062,150000000,623722818.0
272,150000000,374218673.0
10527,150000000,603900354.0
18360,150000000,413106170.0
2080,150000000,373062864.0
605,150000000,424988211.0
109445,150000000,1274219009.0
604,150000000,738599701.0
76338,170000000,644571402.0
76341,150000000,378858340.0
13448,150000000,356613439.0
10195,150000000,449326618.0
13053,150000000,309979994.0
19585,150000000,292817841.0
57165,150000000,301000000.0
62213,150000000,245527149.0
177677,150000000,682330139.0
5559,150000000,287594577.0
49444,150000000,665692281.0
10196,150000000,318502923.0
956,150000000,397850012.0
117251,150000000,205366737.0
50321,150000000,38992758.0
11619,149000000,64459316.0
266647,150000000,128388320.0
82703,145000000,272912430.0
652,175000000,497409852.0
80321,145000000,746921274.0
36669,140000000,431971116.0
43074,144000000,229147509.0
95,140000000,553799566.0
608,140000000,441818803.0
2310,70000000,195735876.0
140300,145000000,521170825.0
56292,145000000,694713380.0
81188,145000000,306941670.0
7552,100000000,202026112.0
616,140000000,456758981.0
147441,140000000,268031828.0
13475,150000000,385680446.0
557,139000000,821708551.0
82702,145000000,609123048.0
205584,140000000,150680864.0
10048,135000000,76932943.0
13183,130000000,185258983.0
944,140000000,285444603.0
1927,137000000,245360480.0
72559,130000000,371876278.0
7364,130000000,119269486.0
2114,137000000,85131830.0
1771,140000000,370569774.0
36643,135000000,361832400.0
8619,150000000,212011111.0
50620,120000000,829000000.0
65759,130000000,150406466.0
1724,150000000,163712074.0
267935,140000000,183345589.0
281957,135000000,532950503.0
77950,135000000,282570682.0
44896,135000000,245724603.0
270946,132000000,373552094.0
2503,70000000,442824138.0
9502,130000000,631744560.0
102899,130000000,519311965.0
101299,130000000,847423452.0
228161,135000000,368871007.0
74,132000000,591739379.0
8961,130000000,273339556.0
417859,130000000,554987477.0
27576,110000000,293329073.0
86834,125000000,362637473.0
17578,130000000,371940071.0
673,130000000,789804554.0
