id,vote_average,vote_count
38745,4.9,621.0
40805,5.5,1251.0
53182,6.1,2397.0
41513,5.5,1179.0
13700,5.7,389.0
262504,5.9,1998.0
39254,6.6,2692.0
77931,5.5,695.0
1639,4.1,434.0
80274,6.6,2303.0
1571,6.4,2089.0
120,8.0,8705.0
10204,5.7,672.0
8489,6.7,447.0
10588,4.9,366.0
2048,6.7,3793.0
1495,6.6,1157.0
10137,5.8,959.0
10198,6.7,1247.0
286217,7.6,7268.0
1635,6.5,1770.0
24113,3.7,16.0
9679,6.1,1485.0
98,7.9,5439.0
180,7.1,2608.0
672,7.4,5815.0
36557,7.3,3855.0
869,5.6,1243.0
280,7.7,4185.0
11322,6.5,1344.0
4982,7.4,1502.0
36955,6.8,1116.0
18487,6.2,954.0
39451,5.4,1060.0
27581,6.1,1383.0
9268,5.6,543.0
68718,7.8,10099.0
10545,6.8,1129.0
11688,7.2,1490.0
76163,6.1,2896.0
2059,6.4,1926.0
2486,4.9,967.0
16523,6.4,572.0
116711,6.4,1121.0
37710,6.0,1699.0
9946,5.5,482.0
1372,7.3,2281.0
106646,7.9,6571.0
414,5.2,1498.0
563,6.7,1560.0
83542,6.6,2977.0
41216,6.5,703.0
314,4.2,808.0
184315,5.6,1680.0
9016,7.2,948.0
18162,5.3,381.0
138103,6.1,1795.0
257088,5.5,783.0
10214,3.6,338.0
205775,6.5,1276.0
11692,4.4,142.0
22972,6.4,717.0
227973,6.5,604.0
29193,7.1,73.0
1734,6.0,2206.0
3131,7.1,1910.0
76758,7.1,187.0
9408,5.9,601.0
9890,5.4,334.0
855,7.2,1811.0
77953,5.6,578.0
18,7.3,3885.0
37786,5.4,426.0
10501,7.0,858.0
57800,6.2,2672.0
150689,6.7,2374.0
7980,6.6,1065.0
12,7.6,6122.0
122,8.1,8064.0
121,8.0,7487.0
68737,5.2,957.0
1995,5.7,2192.0
157353,5.9,2295.0
331,5.7,2077.0
61791,7.0,4347.0
8204,6.3,572.0
47964,5.2,3493.0
10733,5.8,106.0
9806,7.4,5152.0
1408,5.7,136.0
32657,6.0,2010.0
607,6.9,4412.0
863,7.3,3806.0
44048,6.3,1165.0
5175,6.4,1054.0
2655,6.3,488.0
22794,6.5,1747.0
