,Unnamed: 0,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score
32,33,Singapore,36.0,20.0,1.0,21.0,90100,85.1,122
33,34,El Salvador,83.0,74.0,85.0,134.0,7510,74.5,121
34,35,Italy,23.0,132.0,128.0,48.0,35800,83.5,120
35,36,Bahrain,59.0,24.0,,23.0,42000,79.8,119
36,37,Trinidad and Tobago,29.0,51.0,141.0,41.0,28500,74.5,117
37,38,Poland,44.0,52.0,108.0,77.0,29900,78.4,116
38,39,Uzbekistan,11.0,1.0,18.0,29.0,6490,70.7,115
39,40,Lithuania,17.0,122.0,113.0,124.0,32400,75.4,114
40,41,Colombia,52.0,56.0,124.0,111.0,13600,80.5,113
41,42,Slovenia,14.0,13.0,97.0,54.0,33700,81.4,112
42,43,Nicaragua,66.0,70.0,43.0,71.0,4620,79.2,111
43,44,Argentina,46.0,54.0,109.0,123.0,17500,77.0,109
44,45,Romania,86.0,57.0,146.0,102.0,25500,75.4,108
45,46,Cyprus,90.0,81.0,115.0,39.0,34500,82.0,107
46,47,Ecuador,71.0,42.0,68.0,95.0,10200,77.2,106
47,48,Kuwait,69.0,47.0,,42.0,64100,83.3,105
48,49,Thailand,53.0,18.0,131.0,10.0,17400,78.6,104
49,50,Latvia,34.0,126.0,92.0,105.0,27300,75.4,103
50,51,South Korea,91.0,144.0,100.0,40.0,37300,83.0,102
51,52,Estonia,12.0,45.0,30.0,83.0,32000,78.5,101
52,53,Jamaica,28.0,49.0,130.0,119.0,8310,74.9,100
53,54,Mauritius,54.0,40.0,96.0,37.0,21800,75.0,99
54,55,Japan,50.0,64.0,39.0,92.0,39700,84.5,98
55,56,Honduras,84.0,39.0,79.0,51.0,4630,74.3,97
56,57,Kazakhstan,19.0,80.0,57.0,57.0,25400,72.8,96
57,58,Bolivia,93.0,35.0,91.0,104.0,7150,73.3,95
58,59,Hungary,51.0,138.0,140.0,100.0,29600,77.2,94
59,60,Paraguay,30.0,34.0,76.0,67.0,12000,76.4,93
60,61,Peru,77.0,61.0,132.0,126.0,13000,80.8,91
61,62,Portugal,47.0,37.0,135.0,122.0,29300,81.8,90
62,63,Pakistan,130.0,114.0,55.0,58.0,5000,67.2,89
63,64,Russia,40.0,107.0,127.0,101.0,25700,72.5,88
64,65,Philippines,75.0,15.0,49.0,115.0,8260,70.0,87
65,66,Serbia,57.0,124.0,118.0,84.0,16700,76.0,86
66,67,Moldova,65.0,128.0,148.0,86.0,6720,73.1,85
67,68,Libya,73.0,79.0,31.0,87.0,14800,73.3,84
68,69,Montenegro,60.0,139.0,77.0,76.0,17800,76.7,83
69,70,Tajikistan,113.0,86.0,35.0,72.0,3150,70.8,82
70,71,Croatia,79.0,118.0,139.0,81.0,24500,78.8,81
71,72,Dominican Republic,55.0,43.0,52.0,93.0,16400,73.5,79
72,73,Turkey,61.0,140.0,50.0,98.0,25000,79.5,77
73,74,Malaysia,97.0,36.0,137.0,27.0,29100,75.0,76
74,75,Belarus,33.0,131.0,37.0,103.0,18000,74.5,75
75,76,Greece,102.0,150.0,123.0,152.0,25700,81.3,74
76,77,Mongolia,10.0,112.0,119.0,38.0,12800,69.3,73
77,78,Nigeria,111.0,75.0,114.0,59.0,5300,65.2,71
78,79,Turkmenistan,8.0,83.0,,33.0,17600,70.3,69
79,80,Algeria,101.0,149.0,46.0,128.0,14000,78.1,68
80,81,Morocco,139.0,76.0,84.0,154.0,7770,74.4,67
81,82,Azerbaijan,104.0,101.0,22.0,146.0,16200,71.1,66
82,83,Lebanon,89.0,136.0,133.0,63.0,11700,78.1,65
83,84,Indonesia,94.0,48.0,129.0,2.0,12100,71.9,64
84,85,China,108.0,31.0,,133.0,17100,77.5,63
85,86,Vietnam,64.0,23.0,86.0,97.0,6970,74.7,62
86,87,Bhutan,68.0,59.0,25.0,13.0,9710,74.7,61
87,88,Cameroon,129.0,90.0,120.0,91.0,3400,63.8,60
88,89,Bulgaria,18.0,115.0,147.0,112.0,20200,75.1,59
89,90,Ghana,132.0,91.0,117.0,52.0,4430,66.1,58
90,91,Nepal,87.0,67.0,65.0,46.0,2880,71.5,56
91,92,Jordan,88.0,88.0,,118.0,8350,79.6,55
92,93,Benin,153.0,103.0,75.0,116.0,2230,65.3,54
93,94,Gabon,95.0,119.0,103.0,143.0,16200,69.0,52
94,95,South Africa,63.0,85.0,102.0,89.0,12000,66.9,50
95,96,Albania,133.0,87.0,134.0,60.0,12700,78.5,49
96,97,Venezuela,49.0,145.0,110.0,139.0,9720,75.1,48
97,98,Cambodia,109.0,2.0,94.0,61.0,4080,70.4,47
98,99,Senegal,106.0,121.0,88.0,130.0,3460,68.6,45
99,100,Somalia,145.0,14.0,16.0,96.0,631,59.2,44
100,101,Namibia,70.0,82.0,98.0,142.0,9700,67.2,43
101,102,Niger,140.0,111.0,51.0,135.0,954,63.2,42
102,103,Burkina Faso,116.0,127.0,47.0,125.0,1810,62.5,41
