date,EBAY
2014-09-03,0.004263339134228266
2014-09-04,0.001180810000280589
2014-09-05,-0.009593568193789844
2014-09-08,-0.0033467786069059386
2014-09-09,-0.031242163054015903
2014-09-10,-0.060552734741846796
2014-09-11,-0.06661240232165153
2014-09-12,-0.03670132748982839
2014-09-15,-0.05899274925525573
2014-09-16,-0.04499459368008874
2014-09-17,-0.03669540083717951
2014-09-18,-0.02140338336213395
2014-09-19,-0.02393108198283565
2014-09-22,-0.019647722696866387
2014-09-23,-0.011667917040682013
2014-09-24,-0.004661636368330808
2014-09-25,-0.016418615953499357
2014-09-26,0.0015535868032924942
2014-09-29,-0.0009984713830256955
2014-09-30,0.07670215068682941
2014-10-01,0.052266836891823085
2014-10-02,0.03982363276447722
2014-10-03,0.03087557236816048
2014-10-06,0.013810393089310672
