date,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day,lag_10_day
2011-10-27,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05,0.00768326245302106,0.017613268104451674,0.08135424876063349,0.08009942269111275,0.09001027347087173,0.05792887496076701
2011-10-28,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05,0.00768326245302106,0.017613268104451674,0.08135424876063349,0.08009942269111275,0.09001027347087173
2011-10-31,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05,0.00768326245302106,0.017613268104451674,0.08135424876063349,0.08009942269111275
2011-11-01,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05,0.00768326245302106,0.017613268104451674,0.08135424876063349
2011-11-02,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05,0.00768326245302106,0.017613268104451674
2011-11-03,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05,0.00768326245302106
2011-11-04,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304,5.223524645793292e-05
2011-11-07,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835,0.032263325437168304
2011-11-08,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938,0.01086980839793835
2011-11-09,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486,0.017545940780044938
