date,EBAY,NVDA,YHOO,AAPL
2011-03-24,31.759999,15.096302186878727,16.83,344.970005
2011-03-25,31.7,15.090974155069583,16.959999,351.540009
2011-03-28,30.34,15.085646123260437,16.58,350.4400100000001
2011-03-29,31.079998,15.080318091451293,16.75,350.959995
2011-03-30,31.629998,15.074990059642147,16.74,348.630009
2011-03-31,31.04,15.069662027833003,16.68,348.5100060000001
2011-04-01,31.359999,15.064333996023857,16.84,344.560009
2011-04-04,31.39,15.059005964214712,16.870001000000002,341.189999
2011-04-05,31.84,15.053677932405567,17.110001,338.8899990000001
2011-04-06,31.85,15.048349900596422,17.049999,338.0399930000001
2011-04-07,31.529998,15.043021868787276,17.0,338.079994
2011-04-08,31.14,15.037693836978132,16.77,335.060005
2011-04-11,31.19,15.032365805168986,16.59,330.799988
2011-04-12,30.699999,15.027037773359842,16.360001,332.399998
2011-04-13,30.669998,15.021709741550696,16.639999,336.12999
2011-04-14,30.849999,15.016381709741552,16.690001000000002,332.419998
2011-04-15,31.609999,15.011053677932406,16.620001000000002,327.459991
2011-04-18,31.149999,15.005725646123262,16.35,331.849998
2011-04-19,31.149999,15.000397614314116,16.120001000000002,337.8599890000001
2011-04-20,31.759999,14.995069582504971,16.870001000000002,342.41
2011-04-21,31.95,14.989741550695825,16.85,350.699989
2011-04-25,32.96,14.98441351888668,17.110001,353.010002
2011-04-26,33.079999,14.979085487077535,17.280001000000002,350.42001
2011-04-27,34.029999,14.97375745526839,17.26,350.14999
2011-04-28,33.999998,14.968429423459245,17.51,346.749992
2011-04-29,34.389999,14.963101391650099,17.700001,350.12999
2011-05-02,33.639998,14.957773359840955,17.690387261802574,346.2799950000001
2011-05-03,33.539998,14.952445328031809,17.68077352360515,348.200012
2011-05-04,33.01,14.947117296222665,17.671159785407724,349.570004
2011-05-05,32.679999,14.941789264413519,17.6615460472103,346.749992
2011-05-06,32.719999,14.936461232604374,17.651932309012874,346.660004
2011-05-09,33.119999,14.931133200795228,17.64231857081545,347.599998
2011-05-10,33.929999,14.925805168986084,17.632704832618025,349.450001
2011-05-11,33.31,14.920477137176938,17.6230910944206,347.2300029999999
2011-05-12,33.579999,14.915149105367794,17.613477356223175,346.569988
2011-05-13,33.569999,14.909821073558648,17.603863618025752,340.499996
2011-05-16,32.369999,14.904493041749504,17.594249879828325,333.299992
2011-05-17,32.65,14.899165009940358,17.584636141630902,336.140003
2011-05-18,32.879999,14.893836978131214,17.575022403433476,339.869995
2011-05-19,32.9,14.888508946322068,17.565408665236053,340.53001
2011-05-20,32.479997999999995,14.883180914512923,17.555794927038626,335.220009
2011-05-23,31.629998,14.877852882703777,17.546181188841203,334.39999
2011-05-24,30.819998,14.872524850894633,17.536567450643776,332.190006
2011-05-25,30.699999,14.867196819085487,17.526953712446353,336.779991
2011-05-26,30.659999,14.861868787276343,17.517339974248927,335.000004
2011-05-27,30.679998,14.856540755467197,17.507726236051504,337.409992
2011-05-31,31.169999,14.851212723658053,17.498112497854077,347.82999
2011-06-01,30.64,14.845884691848907,17.488498759656654,345.509991
2011-06-02,31.279998,14.840556660039763,17.478885021459227,346.099991
2011-06-03,30.299999,14.835228628230617,17.469271283261804,343.4400100000001
2011-06-06,29.559999,14.82990059642147,17.459657545064378,338.0399930000001
2011-06-07,29.919998,14.824572564612327,17.450043806866955,332.039989
2011-06-08,30.569998,14.81924453280318,17.440430068669528,332.239994
2011-06-09,30.659999,14.813916500994036,17.430816330472105,331.48999
2011-06-10,29.959999,14.80858846918489,17.42120259227468,325.900009
2011-06-13,29.859999,14.803260437375746,17.411588854077255,326.599998
2011-06-14,29.759999,14.7979324055666,17.40197511587983,332.439999
2011-06-15,28.659998,14.792604373757456,17.392361377682406,326.749989
2011-06-16,28.47,14.78727634194831,17.38274763948498,325.159992
2011-06-17,28.83,14.781948310139166,17.373133901287552,320.259987
